Date,AAPL,AMZN,MSFT,NVDA,CPI,Unemployment,Inflation_MoM,GDP,Interest_Rate
2025-04-01,222.4293975830078,192.1699981689453,380.15203857421875,110.13001251220703,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-02,223.12701416015625,196.00999450683594,380.1023254394531,110.39995574951172,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-03,202.49757385253906,178.41000366210938,371.1204528808594,101.78153228759766,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-04,187.738037109375,171.0,357.9212341308594,94.29288482666016,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-07,180.84161376953125,175.25999450683594,355.9517822265625,97.62227630615234,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-08,171.83242797851562,170.66000366210938,352.66937255859375,96.28252410888672,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-09,198.17234802246094,191.10000610351562,388.4077453613281,114.30925750732422,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-10,189.7710723876953,181.22000122070312,379.3164978027344,107.55047607421875,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-11,197.47471618652344,184.8699951171875,386.3786926269531,110.90986633300781,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-14,201.829833984375,182.1199951171875,385.7420654296875,110.68990325927734,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-15,201.45114135742188,179.58999633789062,383.67315673828125,112.17963409423828,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-16,193.6079559326172,174.3300018310547,369.6284484863281,104.47103881835938,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-17,196.3087158203125,172.61000061035156,365.8188781738281,101.47157287597656,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-21,192.50172424316406,167.32000732421875,357.2050476074219,96.89241790771484,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-22,199.059326171875,173.17999267578125,364.864013671875,98.8720474243164,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-23,203.9027557373047,180.60000610351562,372.3936462402344,102.69136047363281,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-24,207.65989685058594,186.5399932861328,385.2347717285156,106.41067504882812,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-25,208.56680297851562,188.99000549316406,389.7605285644531,110.98986053466797,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-28,209.4238739013672,187.6999969482422,389.0741882324219,108.71026611328125,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-29,210.49021911621094,187.38999938964844,391.9388427734375,109.00021362304688,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-04-30,211.77584838867188,184.4199981689453,393.1523742675781,108.90023040771484,320.321,4.2,0.2208907591946696,30485.729,4.33
2025-05-01,212.59304809570312,190.1999969482422,423.1316223144531,111.5897445678711,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-02,204.65020751953125,189.97999572753906,432.95892333984375,114.4792251586914,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-05,198.21221923828125,186.35000610351562,433.8442077636719,113.79934692382812,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-06,197.83349609375,185.00999450683594,430.99945068359375,113.51940155029297,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-07,195.58120727539062,188.7100067138672,431.03924560546875,117.03875732421875,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-08,196.81698608398438,192.0800018310547,435.83355712890625,117.34870910644531,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-09,197.8534393310547,193.05999755859375,436.39056396484375,116.62882995605469,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-12,210.3471221923828,208.63999938964844,446.8643798828125,122.9776840209961,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-13,212.48263549804688,211.3699951171875,446.74505615234375,129.9064178466797,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-14,211.8839111328125,210.25,450.5247497558594,135.3154296875,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-15,211.00575256347656,205.1699981689453,451.5412292480469,134.80552673339844,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-16,210.81614685058594,205.58999633789062,452.67718505859375,135.37542724609375,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-19,208.3413543701172,206.16000366210938,457.26104736328125,135.54539489746094,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-20,206.42539978027344,204.07000732421875,456.56353759765625,134.35562133789062,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-21,201.66542053222656,201.1199951171875,450.9831848144531,131.7760772705078,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-22,200.93695068359375,203.10000610351562,453.26513671875,132.80589294433594,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-23,194.8597412109375,200.99000549316406,448.6015319824219,131.26617431640625,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-27,199.78936767578125,206.02000427246094,459.07470703125,135.47540283203125,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-28,199.99893188476562,204.72000122070312,455.75634765625,134.78553771972656,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-29,199.5299072265625,205.6999969482422,457.0717468261719,139.1647491455078,320.58,4.3,0.08085639093282637,30485.729,4.33
2025-05-30,200.4280242919922,205.00999450683594,458.7458190917969,135.10548400878906,320.58,4.3,0.08085639093282637,30485.729,4.33
